PCU/5min,Total PCU/Hr,SMS,Density,Flow in Veh/hr,Time Interval
84.86030178948874,1018.3236214738649,35.65843956832187,28.557716877171487,2940,300
32.09959364810428,385.1951237772514,43.3546617915905,8.884745212150811,2040,600
95.17275141936224,1142.0730170323468,35.71424089354626,31.97808460878487,3060,900
92.45589181571825,1109.470701788619,41.358863495985176,26.825463951549793,2880,1200
48.56252147557855,582.7502577069426,46.55413271245635,12.517691207058355,2580,1500
76.36861882120031,916.4234258544038,49.236199194838136,18.612797917806795,2400,1800
50.14270909810834,601.7125091773,48.021615130591435,12.530034809137193,2580,2100
65.26826642501477,783.2191971001773,43.18407960199005,18.13675790519996,2100,2400
39.13189388055155,469.5827265666186,49.484797297297284,9.489434174003696,2520,2700
48.52408119677685,582.2889743613222,43.012499999999996,13.537668686110369,2220,3000
93.47198074085127,1121.6637688902151,37.49517478018443,29.914883060713073,2820,3300
61.420533975161696,737.0464077019403,50.51015890195306,14.59204294194848,2760,3600
80.83439944493448,970.0127933392137,36.15182446060755,26.8316414956091,3180,3900
62.640666720761786,751.6880006491415,32.45283018867924,23.16247908977006,2580,4200
62.39457452003677,748.7348942404412,37.79259822385017,19.811680843047444,2940,4500
93.38779388168332,1120.6535265802,33.21229145075354,33.74213213327604,3420,4800
34.41063065220417,412.92756782645006,36.71418602332769,11.247084916007168,1980,5100
90.99403916144627,1091.9284699373552,33.98680321261158,32.128013426463426,3060,5400
69.99694144379194,839.9632973255033,34.46649843697036,24.370427383610277,2460,5700
85.1459394648811,1021.7512735785731,33.60918530602002,30.400953319018978,2880,6000
48.41256799472114,580.9508159366536,40.26037173555017,14.429842321194224,2760,6300
45.962295107768554,551.5475412932226,40.923686818632305,13.477464621836232,2220,6600
60.742711728754564,728.9125407450548,40.31924328844196,18.078527305942945,3300,6900
67.54508618765985,810.5410342519182,36.91570662712444,21.956535803011267,3480,7200
66.23955787410226,794.8746944892271,37.235166546182505,21.347418803763098,3600,7500
52.993397393126365,635.9207687175164,38.887480993411046,16.352840360764546,3300,7800
63.42948323341982,761.1537988010379,35.17304079035093,21.640261453023026,3120,8100
50.5882937753816,607.0595253045792,32.606707317073166,18.61762733051912,2760,8400
60.51433062000727,726.1719674400872,29.90157480314961,24.285408786014763,2940,8700
63.66450042436685,763.9740050924022,30.744834537208135,24.8488572663425,2460,9000
59.85256823578588,718.2308188294305,33.55532098646964,21.40437932687455,2820,9300
57.46595313146229,689.5914375775475,33.81190873678353,20.394927803272758,2940,9600
61.717357162351284,740.6082859482154,36.63019693654268,20.218517722720094,4320,9900
48.61491015365473,583.3789218438568,41.405499781754706,14.08940659861138,4080,10200
94.14987704316079,1129.7985245179293,34.09828823854224,33.13358478918853,4980,10500
79.9843286267086,959.8119435205033,34.913249068307145,27.4913383639159,5220,10800
82.23474746297846,986.8169695557415,35.12897804572253,28.09125185114518,3540,11100
78.57872948069941,942.944753768393,31.208700155359935,30.214163008209972,3240,11400
56.53631649037366,678.4357978844839,29.624361414404493,22.901280078044234,3180,11700
81.100449437797,973.2053932535639,29.70059880239521,32.76719771640024,4800,12000
55.47055148862253,665.6466178634704,29.862860965548002,22.29011542569245,2880,12300
74.16639891487146,889.9967869784575,27.883597883597886,31.918290842301413,4080,12600
56.86154690515118,682.3385628618141,34.584178498985814,19.729789530256554,3300,12900
80.33508427451994,964.0210112942393,30.4825493171472,31.625340822526063,4320,13200
69.68928916914838,836.2714700297806,35.52143793297136,23.54272570856556,3060,13500
55.094238796468595,661.1308655576231,30.613166953528403,21.596291117519375,3060,13800
55.027245053148306,660.3269406377797,30.191304347826076,21.871428045318172,3360,14100
65.76995301373562,789.2394361648273,31.29947023995015,25.215744231908904,2700,14400
69.6722088208042,836.0665058496504,29.866480495680257,27.99347268154261,2760,14700
59.811169548488756,717.7340345818651,31.070454545454545,23.100210314974813,2940,15000
88.2995563202291,1059.5946758427492,33.33084447099231,31.79021391926958,4800,15300
56.02005505895368,672.2406607074441,33.57737438571858,20.020644049922122,3600,15600
61.46800628189168,737.6160753827002,34.018289402904784,21.6829266941246,4080,15900
61.53544641601283,738.425356992154,33.177466491988305,22.256833781158935,3540,16200
55.340106146241084,664.081273754893,39.48864284898985,16.817019422380092,3720,16500
50.656967912396325,607.8836149487558,32.49823869240523,18.70512493622668,3720,16800
61.97612622032408,743.713514643889,32.41994325091205,22.940000507957908,2580,17100
66.50182709059666,798.02192508716,32.385215060374286,24.641550892882567,3540,17400
47.502725148093475,570.0327017771217,35.3396666069188,16.13010977487605,3180,17700
38.203669859498206,458.44403831397847,36.47058823529411,12.570239760221993,3000,18000
54.8213426823173,657.8561121878076,32.21688788477831,20.419604604286704,2760,18300
51.144245926617955,613.7309511194155,37.63912310286678,16.305665502410992,2880,18600
101.81053561768371,1221.7264274122044,29.874881185622,40.8947710895061,4140,18900
69.93436224858398,839.2123469830078,32.747005386285075,25.627147798206984,4380,19200
62.88241310675792,754.5889572810951,35.64819577163586,21.167661951674354,3540,19500
44.032434112908575,528.389209354903,36.679245283018865,14.405672888791079,3240,19800
33.48372417619015,401.8046901142818,33.57768052516411,11.966421856124262,2640,20100
45.35195103185288,544.2234123822345,32.222098833981136,16.889756784194994,3120,20400
90.87250095415666,1090.47001144988,30.984672726581227,35.1938528146655,4380,20700
